num_1,num_2,num_3,first_name,last_name,city,country,department,with_nulls_1,contract_type_1,date_1,date_2
0,87.81343388489104,69.79889649387266,Alexander,Garcia,Fresno,Mexico,Research,,CONTRACT,24-Dec-2022,11-Oct-2020
40,150.03995421538997,38.06193465948225,Aiden,Flores,Fresno,Brazil,Engineering,,CONTRACT,24-Aug-2023,29-Aug-2023
93,271.33036948721025,66.13858638667685,Emma,White,Charlotte,Italy,IT,Milwaukee,CONTRACT,28-Feb-2022,30-Jul-2020
57,758.7143030872433,48.39790087544362,Charlotte,Flores,Kansas City,Poland,Procurement,,CONTRACT,24-Jun-2020,16-Jun-2023
13,903.5344107876547,96.68873959451369,Joseph,Torres,Denver,Colombia,Finance,,CONTRACT,18-Apr-2021,09-Aug-2022
5,386.8126881840326,44.77032376512611,Sophia,Lee,Albuquerque,Denmark,Operations,,CONTRACT,23-Aug-2023,22-Jun-2021
11,468.013666889875,33.63311641219162,,Young,San Francisco,Finland,Finance,,CONTRACT,04-Jun-2021,04-Apr-2020
85,936.2342604520119,55.27502158129282,,Hill,New York,Brazil,Finance,Sacramento,CONTRACT,27-Dec-2021,14-Aug-2021
18,976.8985096886839,24.767567506610618,Harper,Jones,Columbus,Belgium,Sales,,CONTRACT,21-May-2022,31-Jul-2021
16,636.129444372905,22.915313971989615,Aria,Jackson,Fort Worth,UK,IT,,CONTRACT,23-Jul-2021,20-Aug-2023
2,553.4586513722554,60.68873411589639,Jack,Johnson,,Japan,Marketing,,CONTRACT,30-May-2023,30-Mar-2022
37,43.850651045340804,57.39762325503968,Mia,Brown,Portland,Norway,IT,,CONTRACT,30-Aug-2021,31-Oct-2022
55,453.8571145564584,54.70010835754185,Noah,Hill,,India,Customer Support,,CONTRACT,24-Jul-2023,15-Jan-2022
73,526.2076229132566,74.88581875134909,,Scott,Colorado Springs,Thailand,Sales,,CONTRACT,09-Sep-2021,08-Mar-2023
61,292.532860477429,54.59656852254075,Jack,Moore,,Italy,Human Resources,,CONTRACT,22-May-2023,03-Jul-2023
33,221.9238642327809,59.93837180559142,Carter,Thompson,Louisville,China,Sales,,CONTRACT,31-Aug-2023,05-Feb-2022
60,204.26495050754045,44.32424107333501,Sofia,Thompson,,Italy,Quality Assurance,,CONTRACT,07-May-2023,19-Apr-2020
4,297.83197637738965,46.06240488634638,William,Harris,San Jose,Portugal,Procurement,,CONTRACT,27-Jun-2022,24-Sep-2023
98,695.0428892364307,33.23140230051739,Jack,Davis,Austin,France,Product,,CONTRACT,16-Feb-2021,01-Mar-2022
39,591.4690167816802,56.12654776261421,Harper,Anderson,Washington,UK,Marketing,,CONTRACT,24-May-2022,01-May-2020
43,876.5535209929467,21.297733365653624,Abigail,Hernandez,Colorado Springs,Belgium,Legal,,CONTRACT,03-Jan-2023,13-Dec-2020
66,73.228492097145,42.91569673499901,Sophia,Sanchez,,Ireland,Finance,,CONTRACT,20-Mar-2023,12-Nov-2021
61,264.71173399165116,57.19798758513874,Victoria,Green,,Germany,Legal,,CONTRACT,22-Jun-2022,29-May-2021
26,241.0432846310858,35.0511466975934,Sebastian,Nguyen,Sacramento,Belgium,Engineering,,CONTRACT,19-Dec-2023,10-Nov-2023
77,458.583671201231,71.0047132572801,,Martinez,San Diego,India,Human Resources,,CONTRACT,26-Feb-2022,23-Feb-2020
81,887.3462364265697,44.17828283134539,Michael,Hill,Miami,Mexico,Finance,,CONTRACT,29-Jun-2020,05-Jun-2021
67,323.27742960500836,45.440211692892696,Ella,Davis,Washington,India,Design,,CONTRACT,23-Nov-2022,16-Sep-2021
72,742.3632496340351,58.385460381463865,Mia,White,Raleigh,Peru,Product,,CONTRACT,30-May-2020,25-May-2020
40,747.024950702041,61.83216367981798,Evelyn,Lopez,Colorado Springs,Denmark,Design,,CONTRACT,18-Apr-2022,02-May-2021
1,481.88385394143575,62.40148243898975,Daniel,Lewis,Denver,Peru,Sales,,CONTRACT,18-Jan-2021,16-Apr-2022
50,269.6485044241831,59.20249667991118,,Harris,,Czech Republic,Research,Raleigh,CONTRACT,25-Jul-2021,30-Sep-2023
98,493.2298597520447,46.90191341170539,,King,Washington,Colombia,Design,,CONTRACT,14-Feb-2020,02-Nov-2022
82,334.2942264873803,65.31855562755635,,Smith,Louisville,France,Analytics,,CONTRACT,18-Aug-2020,25-Apr-2021
65,637.4303309346054,62.771010584916894,Scarlett,Robinson,Dallas,UK,Quality Assurance,,CONTRACT,30-Oct-2020,12-Oct-2022
55,754.3423591844847,45.669531546743556,Jack,Martin,San Diego,Ireland,Analytics,,CONTRACT,08-Jun-2020,01-Sep-2022
87,790.4109182944919,26.18475461194344,Jackson,King,Phoenix,Switzerland,Finance,,CONTRACT,02-Jul-2023,26-Mar-2022
68,523.2837537554994,47.330054054183854,Elizabeth,Garcia,Memphis,Denmark,Research,,CONTRACT,12-Jul-2020,13-Jul-2020
81,748.4067247128293,37.40857135176076,Samuel,Anderson,Miami,South Korea,Procurement,,CONTRACT,18-Mar-2023,18-Jul-2020
85,357.72293182564874,98.99398752812365,Michael,Johnson,Austin,Norway,Marketing,,CONTRACT,04-Sep-2020,21-May-2021
76,409.5600109239506,46.263700189357934,Amelia,Robinson,Kansas City,Colombia,Human Resources,,CONTRACT,02-Apr-2020,08-May-2023
62,408.5569737406962,28.797418321496032,Daniel,Flores,Sacramento,Austria,Procurement,Charlotte,CONTRACT,21-Aug-2020,23-May-2020
66,732.8032952618047,58.66583380965614,Amelia,Gonzalez,Albuquerque,UK,Design,,CONTRACT,26-Nov-2022,05-Mar-2021
85,764.5953453785652,50.44234090822922,Abigail,Torres,Jacksonville,Netherlands,Engineering,,CONTRACT,03-Feb-2021,10-Dec-2023
53,183.22155203930902,48.66437792775994,Daniel,King,Philadelphia,Singapore,Quality Assurance,,CONTRACT,04-Jun-2022,29-May-2023
47,413.82273018259076,38.299003065699196,,Brown,Mesa,New Zealand,Operations,,CONTRACT,14-Aug-2022,24-Sep-2022
65,250.5739637251033,33.23589604986183,Michael,Johnson,Jacksonville,Portugal,Sales,Boston,CONTRACT,03-Jun-2023,16-Jul-2020
4,817.460953398615,51.15071054914635,,Thompson,,Australia,Quality Assurance,,CONTRACT,25-Oct-2021,26-Mar-2020
96,637.7050338628749,62.18955173451251,Owen,Brown,Los Angeles,Czech Republic,Research,,CONTRACT,24-Dec-2023,02-May-2022
82,288.2189314499085,81.48635478574988,Emily,Flores,Milwaukee,Germany,Human Resources,Tucson,CONTRACT,26-May-2020,31-Aug-2021
23,941.710452656566,42.4243540276064,Joseph,Clark,San Antonio,New Zealand,Product,San Antonio,CONTRACT,11-Jun-2023,31-Dec-2022
92,38.54787058129994,32.69348155300207,Lily,Green,San Jose,Australia,Research,,CONTRACT,14-Oct-2020,02-Feb-2022
10,863.5363626994541,33.24773486273255,Riley,Allen,San Francisco,Canada,Design,,CONTRACT,01-Jul-2020,01-Dec-2023
62,306.7298815661991,43.08235352896328,Evelyn,Thompson,Milwaukee,Ireland,Procurement,,CONTRACT,16-Aug-2022,15-Feb-2021
84,26.148972788572756,13.95003015267178,Ethan,Torres,Boston,USA,Marketing,,CONTRACT,27-May-2023,16-Jun-2023
33,709.3453774691737,40.31185355848491,William,Jones,,Poland,Design,Atlanta,CONTRACT,29-May-2023,14-Apr-2020
21,173.59981231335132,45.42359406583296,Lucas,Gonzalez,,Chile,Legal,,CONTRACT,15-Dec-2022,23-Aug-2022
42,439.3477573440628,70.08187496948581,Joseph,Davis,Detroit,China,Human Resources,,CONTRACT,05-Mar-2022,13-Feb-2023
43,944.2182984199175,36.054523523315645,Charlotte,Anderson,,Poland,Product,,CONTRACT,01-Nov-2020,05-Mar-2022
70,467.79502832495336,80.85676942352744,Benjamin,Lewis,Chicago,Italy,Marketing,,CONTRACT,17-Aug-2023,01-Mar-2023
50,761.5532192225918,45.38422322754358,Alexander,Hill,Dallas,Czech Republic,Product,,CONTRACT,06-Aug-2020,13-Apr-2020
9,998.719910865285,44.658243100224766,Aiden,Davis,Columbus,Japan,Analytics,,CONTRACT,30-Jul-2021,01-Feb-2021
92,235.10746252270476,31.591441287065212,Noah,Gonzalez,Tucson,Sweden,Analytics,,CONTRACT,02-Oct-2022,31-Jan-2020
58,14.551900616107783,46.789952583414475,Ava,Lewis,San Diego,USA,Finance,,CONTRACT,28-Apr-2022,11-Mar-2021
49,789.2092657251927,55.871462111036976,Liam,King,Indianapolis,Ireland,Customer Support,,CONTRACT,29-Feb-2020,16-Jan-2023
73,841.9433750748567,43.73092858568691,Sophia,Gonzalez,Boston,India,Procurement,Indianapolis,CONTRACT,17-May-2022,20-Jul-2022
99,864.5134216659519,39.882907667483785,Henry,Hill,Kansas City,Norway,Engineering,San Francisco,CONTRACT,29-May-2023,08-Jan-2021
43,296.2659553625133,64.64869672991279,Carter,Hernandez,Long Beach,Canada,Product,,CONTRACT,04-Feb-2022,30-Mar-2021
2,110.47564248959706,59.56499833684091,Riley,Hill,San Jose,India,Research,,CONTRACT,26-Jan-2022,06-Mar-2020
24,847.1676801637276,47.26760962769068,Olivia,Jones,Las Vegas,France,Analytics,,CONTRACT,02-Dec-2023,23-Nov-2020
75,197.5392603371755,33.97731764246902,Samuel,Lee,,UK,Human Resources,,CONTRACT,14-Mar-2021,10-Jan-2022
11,144.63149077453573,72.19271260165664,,Martin,,Japan,Analytics,,CONTRACT,10-Dec-2020,18-Jun-2023
80,902.2193747963532,60.80163610675608,Daniel,Sanchez,San Antonio,Belgium,Product,,CONTRACT,31-Jan-2021,15-Feb-2022
46,257.4274120841439,83.2111686538662,Emily,Walker,Colorado Springs,Czech Republic,Design,,CONTRACT,27-May-2021,22-May-2023
1,494.0440905190472,55.30017365896576,Emma,Thomas,Kansas City,Poland,Sales,,CONTRACT,24-Jan-2020,28-Oct-2020
45,186.013320391754,89.53182518601649,,Jackson,Philadelphia,Canada,Marketing,,CONTRACT,28-Aug-2020,01-Sep-2021
29,354.7662414196866,54.523893142473355,Sebastian,Johnson,Sacramento,UK,Design,,CONTRACT,15-Feb-2023,17-Apr-2021
51,262.7658708690119,26.10285848362671,Charlotte,Wright,Long Beach,Germany,Sales,,CONTRACT,20-Apr-2023,23-Nov-2023
68,803.724085112936,47.68173963372887,Samuel,Anderson,Las Vegas,Australia,Customer Support,,CONTRACT,27-Aug-2021,20-May-2021
64,252.91188699609611,43.08197272081966,Aiden,Martin,,Japan,Sales,,CONTRACT,16-Jul-2023,19-Mar-2021
92,75.32955947515185,48.07921431098522,,Moore,Fresno,Belgium,Customer Support,Dallas,CONTRACT,16-Feb-2022,04-Jul-2023
7,545.5210396436082,43.33550644968542,Mia,Scott,Long Beach,Thailand,Operations,,CONTRACT,13-Mar-2020,25-Apr-2022
81,698.2591541284826,43.07312839199885,Sofia,Davis,Long Beach,Norway,Research,,CONTRACT,02-Mar-2020,25-May-2021
36,824.0656770177126,63.562254614731486,Emma,Ramirez,,Italy,Operations,Milwaukee,CONTRACT,09-Nov-2020,03-Jul-2020
63,97.72847253530048,23.558339759009503,Sofia,Ramirez,Atlanta,Chile,Design,,CONTRACT,07-Nov-2022,20-Oct-2021
97,521.8821487506177,51.904180693703786,Daniel,Lopez,Los Angeles,Singapore,Quality Assurance,Los Angeles,CONTRACT,22-Aug-2023,24-Aug-2020
80,917.2874241313193,40.57884549008188,Jack,Scott,,Ireland,Research,,CONTRACT,13-Jun-2020,13-Jan-2022
92,328.19706875300056,45.717739008053755,Liam,Taylor,,Netherlands,IT,Philadelphia,CONTRACT,05-Oct-2020,03-Aug-2020
29,337.43132992985545,25.81185775619693,Charlotte,Jackson,Washington,South Korea,Design,,CONTRACT,09-Apr-2022,04-Feb-2022
69,340.5888663498662,28.91571369725536,Charlotte,Harris,Las Vegas,Poland,Operations,,CONTRACT,16-Jul-2021,30-Oct-2022
61,555.8208407605676,58.3478325129317,,Torres,,Mexico,Engineering,Fresno,CONTRACT,10-Oct-2022,02-Jun-2020
22,879.927006876132,43.10280838455508,Emily,King,Jacksonville,Portugal,Marketing,,CONTRACT,18-May-2023,31-Jan-2021
19,99.43472151537658,49.224455576455426,Scarlett,Williams,Seattle,UK,Research,Houston,CONTRACT,27-Feb-2021,14-Jun-2022
68,525.0742696014984,48.02954876844122,Olivia,Jones,Denver,Ireland,Design,,CONTRACT,11-Oct-2021,20-Mar-2022
56,6.593391487746958,42.94844426784911,Jack,Martin,Long Beach,Finland,Procurement,,CONTRACT,09-Mar-2023,25-Oct-2020
48,615.6891557073652,34.7344187862653,Lily,Green,,China,Legal,Raleigh,CONTRACT,03-Apr-2020,10-May-2021
96,456.9806060007658,43.577660262515394,Michael,Smith,Raleigh,Peru,Design,,CONTRACT,24-Dec-2020,28-Jul-2023
59,589.4099943257554,55.302978077550534,James,Green,,Sweden,Engineering,,CONTRACT,15-Nov-2021,20-Jul-2020
5,631.4270997619002,35.81629626073582,Riley,Garcia,Detroit,South Korea,Legal,,CONTRACT,11-Jul-2022,09-Sep-2023
1,507.9182422484897,17.707555194294436,Owen,Scott,Seattle,Brazil,Product,Houston,CONTRACT,23-Feb-2022,12-Jun-2021
17,522.8282205904435,60.962311700179725,James,Martin,Phoenix,Finland,Sales,Memphis,CONTRACT,13-Dec-2022,15-Jun-2023
58,923.7398118829597,27.13475594548728,Lily,Martin,Milwaukee,France,Quality Assurance,,CONTRACT,13-Aug-2023,19-Feb-2020
24,961.3704055533312,75.60674235158305,Avery,Torres,Long Beach,Norway,Design,Fort Worth,CONTRACT,06-Nov-2021,29-Aug-2023
2,405.1224811292572,44.80549992648075,Victoria,Smith,Portland,Denmark,IT,,CONTRACT,01-Oct-2020,03-Feb-2020
32,157.99429570925338,47.2542525532588,Chloe,Miller,,USA,Product,,CONTRACT,28-Mar-2020,01-Nov-2021
45,76.63877769653993,15.247754915844595,Charlotte,Clark,Dallas,Brazil,Marketing,,CONTRACT,06-May-2022,08-May-2022
87,648.3899920621886,50.52369384494935,Benjamin,Wright,Dallas,Thailand,Quality Assurance,,CONTRACT,15-Jul-2022,05-Jun-2021
34,965.4320791836409,51.4436821252429,Alexander,Brown,Louisville,India,Sales,,CONTRACT,18-Sep-2022,04-Apr-2022
55,843.0158493636545,38.48725651878731,,Smith,Boston,Australia,Operations,Phoenix,CONTRACT,07-Oct-2022,01-Apr-2022
81,213.71476773817932,28.085519634502077,Victoria,Wilson,Milwaukee,Colombia,Sales,,CONTRACT,06-Jun-2022,20-Apr-2020
53,297.80179332505253,59.20837833085292,Riley,Jones,Albuquerque,Germany,Product,,CONTRACT,21-Jul-2022,09-Nov-2021
0,305.56469886291836,38.09016372871889,Joseph,Wright,San Antonio,India,Legal,Baltimore,CONTRACT,16-Dec-2022,07-Oct-2023
13,414.9425253520095,64.92481446280951,Alexander,Torres,Dallas,Denmark,Marketing,,CONTRACT,25-Sep-2020,17-Sep-2022
79,252.41216587856997,74.74404926206601,Sophia,King,Charlotte,Denmark,Research,,CONTRACT,12-Jul-2023,28-Mar-2020
8,917.4642658711539,37.86355467319845,Sebastian,Gonzalez,Fresno,Netherlands,Human Resources,,CONTRACT,30-Apr-2022,15-Apr-2023
65,639.5099659869842,53.540474168634624,,Rodriguez,Austin,Thailand,Analytics,,CONTRACT,22-May-2020,15-Jul-2021
45,499.05303026514804,43.238823863480455,Mia,Taylor,Austin,China,Product,,CONTRACT,12-Nov-2020,01-Sep-2021
90,577.7743111569745,16.832719216302074,Lucas,Harris,Sacramento,India,Research,San Antonio,CONTRACT,12-May-2021,30-Oct-2020
11,651.9239668733828,50.42698573816356,Michael,Walker,Chicago,Portugal,Analytics,,CONTRACT,19-Aug-2022,30-May-2022
10,950.3784393984351,61.19413577070348,Mia,Garcia,Austin,Argentina,Product,San Jose,CONTRACT,12-Nov-2020,26-Jun-2021
55,740.7400727492349,53.9783730493268,Evelyn,Young,San Antonio,France,Operations,,CONTRACT,02-Apr-2020,17-Sep-2022
1,818.9465119987126,50.11337922737938,Jackson,Young,Detroit,China,Sales,,CONTRACT,21-Sep-2023,27-Jun-2022
68,309.26972428048407,43.68488474062072,Sebastian,Flores,Baltimore,South Korea,Customer Support,,CONTRACT,18-Jun-2023,11-Apr-2023
48,447.59485308903345,63.815941318232184,Riley,Sanchez,Austin,Australia,Operations,,CONTRACT,09-May-2021,27-Sep-2022
9,144.40709571591037,44.22989425030355,Abigail,Rodriguez,San Antonio,South Korea,Procurement,,CONTRACT,31-Dec-2021,05-Oct-2021
69,593.6536656166573,54.228910476438074,Alexander,Thompson,Boston,Italy,Sales,Kansas City,CONTRACT,05-Mar-2020,03-Dec-2023
88,951.0529809620132,81.6004781222079,Evelyn,Lewis,San Francisco,UK,Research,,CONTRACT,10-Mar-2023,31-Jan-2021
81,784.3057889974606,40.46477800634413,William,King,Kansas City,Canada,Legal,,CONTRACT,11-Oct-2021,22-Jun-2023
51,783.3804727406625,51.23055314537844,Joseph,Nguyen,Mesa,China,Analytics,Chicago,CONTRACT,26-Feb-2021,05-Sep-2021
3,232.96139192795295,63.16901595372691,Henry,Martin,,France,Analytics,,CONTRACT,10-May-2020,11-Sep-2020
41,944.8383768999291,87.80444814408982,William,Jones,Miami,Brazil,Research,,CONTRACT,14-Apr-2022,28-Feb-2021
33,81.00153251693676,73.05930134669627,Carter,Davis,Fort Worth,Canada,Analytics,,CONTRACT,13-Nov-2020,10-Jan-2021
60,45.12895356681168,59.77385855544401,Lily,Lee,Phoenix,USA,Quality Assurance,Columbus,CONTRACT,19-Dec-2023,13-Mar-2022
4,878.2529644492511,44.398179337220206,Matthew,Martin,,Finland,Sales,,CONTRACT,07-Mar-2021,07-Jan-2022
96,879.7977527579161,50.30148988726809,Abigail,Perez,,Austria,Marketing,,CONTRACT,29-Nov-2021,18-Jun-2023
71,792.7660839919077,65.31833540569859,Isabella,Hernandez,,Austria,Marketing,,CONTRACT,10-Jan-2022,07-Apr-2020
42,256.8969563504805,58.500522795680965,Jackson,Torres,,South Korea,Product,,CONTRACT,24-Jun-2021,15-Jul-2021
53,726.3180005126238,39.46475445466167,Avery,Anderson,Indianapolis,Ireland,IT,Nashville,CONTRACT,19-Oct-2020,20-Jul-2021
44,724.9191716407661,27.27055728319696,,King,Tucson,Denmark,Human Resources,,CONTRACT,16-Feb-2021,19-Mar-2020
3,343.240708392727,49.62454108946626,Michael,Jackson,Miami,Canada,Sales,,CONTRACT,09-Dec-2020,15-Jan-2021
81,131.25108904175363,55.20990813393433,Harper,Wilson,New York,UK,Marketing,,CONTRACT,14-Jan-2022,26-Jan-2020
81,450.9622126647834,63.015770645949765,Joseph,Williams,Memphis,Mexico,Design,,CONTRACT,17-Mar-2020,29-Apr-2021
20,822.6708271333779,33.628092410874515,Evelyn,Davis,Baltimore,Finland,Sales,,CONTRACT,13-Aug-2023,17-Apr-2022
53,399.8493399784537,49.169768823600414,Ella,Lewis,Indianapolis,Belgium,Legal,,CONTRACT,19-Mar-2022,11-Dec-2023
8,816.7239449726584,76.13530640619754,Grace,Anderson,New York,Peru,Operations,New York,CONTRACT,11-Apr-2021,07-Feb-2022
91,268.42161717470515,36.340005343545144,William,Harris,Long Beach,Poland,Engineering,,CONTRACT,20-Nov-2020,26-Aug-2021
86,107.40204354155625,76.80223548190273,Sophia,Walker,Albuquerque,Belgium,Procurement,,CONTRACT,20-Jul-2022,28-Mar-2021
18,238.17889854063202,45.43855476591883,Elizabeth,Martin,Fresno,China,Engineering,,CONTRACT,27-Jul-2021,01-Jan-2023
47,312.9948896084815,43.111028580995374,Mia,Wright,Charlotte,Spain,IT,,CONTRACT,31-May-2020,23-Aug-2023
85,181.69990510034162,47.20231393407932,Emma,Clark,Milwaukee,Poland,Customer Support,,CONTRACT,21-Jul-2023,05-Apr-2020
30,362.79652357913903,49.569093542435645,Ella,Lee,Las Vegas,Austria,Quality Assurance,,CONTRACT,18-Jun-2021,31-May-2021
95,810.0587604641153,64.66043058886937,Aiden,Miller,Los Angeles,Italy,Human Resources,Houston,CONTRACT,14-Oct-2022,17-Mar-2023
10,28.34265170904715,65.52242067146305,,Thomas,Seattle,Sweden,Legal,,CONTRACT,12-Feb-2022,01-Nov-2021
80,439.062698486381,64.1773588393188,William,Taylor,Columbus,USA,Operations,,CONTRACT,16-Mar-2022,10-Mar-2023
7,866.3219436451257,57.01494951811854,Olivia,Clark,Charlotte,Ireland,Legal,Milwaukee,CONTRACT,15-Jun-2020,12-Oct-2022
97,885.0046228570752,33.458856688027865,Matthew,Allen,,Portugal,Human Resources,,CONTRACT,29-Nov-2023,14-Feb-2023
66,802.095901895728,38.81671605050624,Sophia,Ramirez,Mesa,France,Design,Chicago,CONTRACT,16-May-2021,09-Oct-2020
49,530.4342733642079,40.539928915839056,Victoria,Thomas,Raleigh,China,Analytics,,CONTRACT,22-Mar-2021,20-Apr-2020
68,301.4040881136637,41.05119252814045,Isabella,Martinez,Fresno,Germany,Operations,Nashville,CONTRACT,29-Mar-2021,12-Jun-2023
39,815.2888514337768,40.78574955802047,David,Lee,Las Vegas,Czech Republic,Product,,CONTRACT,26-Dec-2022,04-May-2021
18,351.48095596293183,48.96365359173768,Ava,Wilson,Indianapolis,USA,Quality Assurance,,CONTRACT,18-Nov-2020,30-Jul-2022
83,260.2515496110952,53.41730927310867,Riley,Johnson,,Norway,Design,,CONTRACT,04-Feb-2022,07-Oct-2022
98,787.8033614804874,14.124945153634883,Noah,Jackson,Phoenix,Norway,Legal,,CONTRACT,07-May-2023,11-Nov-2022
37,99.96678373090262,85.38418613147442,Sofia,Martinez,Austin,Sweden,Human Resources,,CONTRACT,09-Jan-2021,22-Jan-2023
99,121.86766558466012,53.272142173501585,,Wright,,Netherlands,IT,,CONTRACT,14-Mar-2023,30-Jul-2020
49,613.4553806420007,40.52585817048727,Henry,Green,Charlotte,Australia,Human Resources,San Francisco,CONTRACT,19-Feb-2023,15-Oct-2022
47,4.941736757282489,71.79281098583851,Olivia,Johnson,Tucson,India,IT,,CONTRACT,26-Oct-2023,30-Sep-2022
16,382.21945641443864,42.42824161663884,,Young,Memphis,India,Quality Assurance,,CONTRACT,17-Jan-2020,18-Aug-2023
68,798.1164382682978,33.27879742528532,Ethan,Moore,Dallas,New Zealand,Customer Support,,CONTRACT,09-Jun-2021,27-Jul-2021
43,389.61214694776936,52.693607144907396,Jack,Flores,Los Angeles,New Zealand,Marketing,,CONTRACT,26-Oct-2023,14-Feb-2022
66,188.88829462210123,26.98981200487968,Henry,Rodriguez,Dallas,Mexico,Procurement,,CONTRACT,14-Nov-2021,02-Oct-2021
15,399.2907203506056,19.45866153017761,Emily,Williams,San Jose,Netherlands,Customer Support,,CONTRACT,03-Jul-2023,15-Jul-2022
80,746.5492316174831,45.95534909615124,Victoria,Miller,Sacramento,Austria,Legal,,CONTRACT,20-Mar-2021,11-Aug-2023
21,160.10504591426434,28.807780144935236,Isabella,Jones,Los Angeles,Brazil,Analytics,,CONTRACT,03-Sep-2022,14-Oct-2023
75,918.6296220296216,53.4915830954296,Evelyn,Harris,Milwaukee,Portugal,Procurement,,CONTRACT,24-Dec-2022,09-Apr-2022
49,336.308415191946,40.16857670507864,Mason,Young,Louisville,Singapore,Operations,New York,CONTRACT,22-Nov-2023,18-Apr-2023
55,215.32539333253408,48.308257417957485,Ethan,Ramirez,,Colombia,Operations,,CONTRACT,17-Sep-2021,11-Aug-2021
7,230.52141336118214,44.5883652754316,Avery,Jackson,Philadelphia,Portugal,Product,,CONTRACT,06-Jun-2021,26-Jun-2020
94,731.6480276514951,65.28029590781196,Harper,Lee,Phoenix,Singapore,Finance,,CONTRACT,28-Jun-2020,01-Dec-2022
17,404.5626142150245,55.786320261172,Chloe,King,Austin,Peru,Operations,,CONTRACT,05-May-2023,20-Mar-2021
58,466.9004730336689,30.85020756079328,James,Harris,Philadelphia,Spain,Engineering,,CONTRACT,31-Jul-2021,17-Apr-2023
