num_1,num_2,num_3,num_4,num_5,first_name,last_name_2,city_3,country_4,department_5,with_nulls_1,with_nulls_2,constant_1,constant_2
20,896.8329055359944,7.932774237891557,69,573.8971007490067,Owen,Green,Boston,USA,Human Resources,,Mesa,CONSTANT,CONSTANT
0,341.31929006046124,38.05285585463268,11,164.89224296058325,Abigail,Thompson,Baltimore,Finland,Research,,,CONSTANT,CONSTANT
55,58.690041635084064,45.558290564031466,89,814.152126727544,Avery,Anderson,San Francisco,New Zealand,Quality Assurance,,,CONSTANT,CONSTANT
99,873.4550813975638,59.931527835019146,56,155.964119287722,Aria,Davis,Detroit,Canada,Research,,,CONSTANT,CONSTANT
11,280.3378315366981,32.28472865667122,73,579.0335511822907,Avery,Thompson,San Antonio,South Korea,Legal,,,CONSTANT,CONSTANT
76,996.8526011803336,52.92889749190619,52,236.1399319695142,Emily,Nguyen,Albuquerque,Spain,Research,,San Francisco,CONSTANT,CONSTANT
48,458.84008613681647,39.97677936483646,73,847.513751647017,Isabella,Hill,Mesa,Spain,Marketing,,,CONSTANT,CONSTANT
8,629.4605569430483,51.89805522736821,12,980.9327117981118,Abigail,Miller,Columbus,Czech Republic,Operations,,,CONSTANT,CONSTANT
0,87.81343388489104,69.79889649387266,48,468.06166562731266,Riley,Flores,Fresno,Denmark,Sales,Kansas City,,CONSTANT,CONSTANT
40,150.03995421538997,38.06193465948225,39,534.1502367044324,Owen,Taylor,Indianapolis,South Korea,Customer Support,,,CONSTANT,CONSTANT
93,271.33036948721025,66.13858638667685,66,308.71139045718076,Charlotte,Hernandez,Mesa,South Korea,Marketing,,,CONSTANT,CONSTANT
57,758.7143030872433,48.39790087544362,0,372.9504507652107,Evelyn,Allen,Dallas,India,Customer Support,,,CONSTANT,CONSTANT
13,903.5344107876547,96.68873959451369,25,900.7597311218597,Ethan,Green,Kansas City,Mexico,Procurement,,,CONSTANT,CONSTANT
5,386.8126881840326,44.77032376512611,83,19.22234991324934,Benjamin,Sanchez,Nashville,Netherlands,Sales,,,CONSTANT,CONSTANT
11,468.013666889875,33.63311641219162,12,280.2299869188637,Michael,Torres,Detroit,UK,Marketing,Baltimore,Las Vegas,CONSTANT,CONSTANT
85,936.2342604520119,55.27502158129282,12,36.388640920753446,Liam,Torres,New York,Sweden,Customer Support,,,CONSTANT,CONSTANT
18,976.8985096886839,24.767567506610618,0,164.8327840544609,Daniel,Wilson,Fresno,New Zealand,Quality Assurance,Detroit,,CONSTANT,CONSTANT
16,636.129444372905,22.915313971989615,33,800.0689722884415,Aiden,Lee,Mesa,India,Analytics,,,CONSTANT,CONSTANT
2,553.4586513722554,60.68873411589639,84,580.5740731473043,Alexander,Hernandez,Dallas,Italy,Marketing,Chicago,,CONSTANT,CONSTANT
37,43.850651045340804,57.39762325503968,62,640.9623792155816,Michael,Hill,Houston,Chile,Engineering,,,CONSTANT,CONSTANT
55,453.8571145564584,54.70010835754185,20,779.0456614939163,Jackson,Lee,Atlanta,India,Procurement,,,CONSTANT,CONSTANT
73,526.2076229132566,74.88581875134909,6,771.6038721796696,Liam,Clark,Raleigh,Finland,Procurement,,,CONSTANT,CONSTANT
61,292.532860477429,54.59656852254075,7,472.0412541899116,Charlotte,Clark,Fresno,Japan,Customer Support,,Houston,CONSTANT,CONSTANT
33,221.9238642327809,59.93837180559142,62,780.6456342247632,Abigail,Young,Baltimore,Czech Republic,Quality Assurance,,Fort Worth,CONSTANT,CONSTANT
60,204.26495050754045,44.32424107333501,86,471.4369251285361,Sebastian,Williams,Long Beach,Belgium,Design,,,CONSTANT,CONSTANT
4,297.83197637738965,46.06240488634638,53,326.8777715893576,Scarlett,King,Louisville,India,Engineering,,,CONSTANT,CONSTANT
98,695.0428892364307,33.23140230051739,18,764.48411429966,Victoria,Anderson,Houston,South Korea,Operations,,,CONSTANT,CONSTANT
39,591.4690167816802,56.12654776261421,62,157.75112256123313,Mia,Robinson,Raleigh,Switzerland,Analytics,,,CONSTANT,CONSTANT
43,876.5535209929467,21.297733365653624,33,175.18553439483142,Olivia,Rodriguez,Long Beach,Austria,Finance,,,CONSTANT,CONSTANT
66,73.228492097145,42.91569673499901,40,291.66756878888657,Jackson,Davis,Memphis,Austria,Product,,Milwaukee,CONSTANT,CONSTANT
61,264.71173399165116,57.19798758513874,13,752.0633100436212,Scarlett,Jones,Miami,China,Marketing,,,CONSTANT,CONSTANT
26,241.0432846310858,35.0511466975934,76,220.27633647440203,William,Martinez,Kansas City,China,Engineering,,Boston,CONSTANT,CONSTANT
77,458.583671201231,71.0047132572801,58,55.94257445803586,Ella,Wright,Mesa,Germany,Product,San Diego,,CONSTANT,CONSTANT
81,887.3462364265697,44.17828283134539,78,60.882894588412896,Victoria,Ramirez,San Antonio,Spain,Operations,,,CONSTANT,CONSTANT
67,323.27742960500836,45.440211692892696,92,474.58690363242715,Abigail,Nguyen,Washington,Colombia,Quality Assurance,,,CONSTANT,CONSTANT
72,742.3632496340351,58.385460381463865,43,215.56847006039646,Michael,Sanchez,San Diego,Brazil,Quality Assurance,,Detroit,CONSTANT,CONSTANT
40,747.024950702041,61.83216367981798,93,992.9761592676367,Benjamin,Moore,Tucson,Mexico,Customer Support,,,CONSTANT,CONSTANT
1,481.88385394143575,62.40148243898975,61,644.6518226233034,Emily,Lee,Tucson,Sweden,Customer Support,Tucson,,CONSTANT,CONSTANT
50,269.6485044241831,59.20249667991118,98,829.0764222819973,Mia,Green,Dallas,New Zealand,Analytics,,New York,CONSTANT,CONSTANT
98,493.2298597520447,46.90191341170539,21,524.2571774612389,Evelyn,Garcia,Kansas City,South Korea,Legal,,,CONSTANT,CONSTANT
82,334.2942264873803,65.31855562755635,36,813.1541693969278,Ethan,Torres,Portland,Singapore,Procurement,,,CONSTANT,CONSTANT
65,637.4303309346054,62.771010584916894,95,374.0486706972582,Joseph,Scott,Louisville,UK,Design,,,CONSTANT,CONSTANT
55,754.3423591844847,45.669531546743556,47,425.8731487250984,Ethan,Robinson,Albuquerque,France,Procurement,,,CONSTANT,CONSTANT
87,790.4109182944919,26.18475461194344,56,933.3174190600655,Samuel,Martinez,Kansas City,Peru,Human Resources,Tucson,,CONSTANT,CONSTANT
68,523.2837537554994,47.330054054183854,53,427.13492068150794,Charlotte,Ramirez,Kansas City,Poland,Human Resources,,,CONSTANT,CONSTANT
81,748.4067247128293,37.40857135176076,83,81.614313939402,Aria,Wright,Phoenix,Japan,Sales,Austin,San Jose,CONSTANT,CONSTANT
85,357.72293182564874,98.99398752812365,64,207.0769564313174,Sofia,White,San Antonio,Denmark,Finance,,Dallas,CONSTANT,CONSTANT
76,409.5600109239506,46.263700189357934,63,108.3643356294488,Chloe,Jackson,Raleigh,Austria,Customer Support,,,CONSTANT,CONSTANT
62,408.5569737406962,28.797418321496032,55,556.1588219091853,Noah,Williams,Dallas,Switzerland,Legal,Washington,,CONSTANT,CONSTANT
66,732.8032952618047,58.66583380965614,48,573.348120070869,Riley,Thompson,Tucson,South Korea,Research,,,CONSTANT,CONSTANT
85,764.5953453785652,50.44234090822922,75,345.9581220986808,Ava,Taylor,Atlanta,Czech Republic,Analytics,,,CONSTANT,CONSTANT
53,183.22155203930902,48.66437792775994,100,988.6992797704835,Amelia,Harris,San Antonio,France,Product,,Boston,CONSTANT,CONSTANT
47,413.82273018259076,38.299003065699196,43,872.5992759165739,Alexander,Davis,Dallas,Peru,Legal,,,CONSTANT,CONSTANT
65,250.5739637251033,33.23589604986183,28,430.7955483949907,Henry,Perez,Mesa,Peru,Marketing,,,CONSTANT,CONSTANT
4,817.460953398615,51.15071054914635,46,806.9753909840482,Aria,Flores,Indianapolis,Japan,Procurement,Tucson,,CONSTANT,CONSTANT
96,637.7050338628749,62.18955173451251,28,42.52240838701948,Sofia,Perez,Washington,Netherlands,Legal,San Jose,,CONSTANT,CONSTANT
82,288.2189314499085,81.48635478574988,41,536.500996488616,Sebastian,Sanchez,Denver,Canada,Engineering,San Jose,,CONSTANT,CONSTANT
23,941.710452656566,42.4243540276064,46,409.5116528080365,Benjamin,Perez,Milwaukee,Mexico,Finance,,,CONSTANT,CONSTANT
92,38.54787058129994,32.69348155300207,15,353.8881323538289,Sebastian,Lewis,San Antonio,France,Analytics,,,CONSTANT,CONSTANT
10,863.5363626994541,33.24773486273255,90,223.52732603829295,William,Martinez,Portland,Spain,Human Resources,Austin,,CONSTANT,CONSTANT
62,306.7298815661991,43.08235352896328,93,136.47872914705428,Henry,Johnson,Detroit,Norway,Customer Support,Louisville,Indianapolis,CONSTANT,CONSTANT
84,26.148972788572756,13.95003015267178,99,204.6037831367057,Harper,Brown,Louisville,India,Analytics,,,CONSTANT,CONSTANT
33,709.3453774691737,40.31185355848491,43,702.2860166472817,Evelyn,Ramirez,Milwaukee,India,Finance,,Boston,CONSTANT,CONSTANT
21,173.59981231335132,45.42359406583296,39,768.6915807821332,Carter,Moore,Detroit,Chile,Procurement,,,CONSTANT,CONSTANT
42,439.3477573440628,70.08187496948581,70,587.472849422371,William,Williams,Seattle,Japan,Procurement,San Diego,,CONSTANT,CONSTANT
43,944.2182984199175,36.054523523315645,45,474.51279078889854,Riley,Taylor,Philadelphia,Canada,Operations,Dallas,,CONSTANT,CONSTANT
70,467.79502832495336,80.85676942352744,83,724.1964619482568,Noah,Sanchez,Indianapolis,UK,Customer Support,,Indianapolis,CONSTANT,CONSTANT
50,761.5532192225918,45.38422322754358,88,522.8287252209822,Riley,Martinez,Seattle,New Zealand,Legal,,,CONSTANT,CONSTANT
9,998.719910865285,44.658243100224766,80,171.75504449608613,Mia,White,Denver,Colombia,Legal,,Boston,CONSTANT,CONSTANT
92,235.10746252270476,31.591441287065212,37,258.32372894062627,Sebastian,Taylor,Phoenix,India,Finance,,,CONSTANT,CONSTANT
58,14.551900616107783,46.789952583414475,11,860.8067723870945,Jackson,Miller,Jacksonville,Argentina,Finance,,,CONSTANT,CONSTANT
49,789.2092657251927,55.871462111036976,18,640.9582962501663,Sophia,Perez,Sacramento,Thailand,Research,,Mesa,CONSTANT,CONSTANT
73,841.9433750748567,43.73092858568691,30,955.8876091434801,Henry,Thompson,Los Angeles,Spain,Procurement,Boston,Memphis,CONSTANT,CONSTANT
99,864.5134216659519,39.882907667483785,82,452.689126389612,Emily,Hill,Atlanta,Ireland,Human Resources,,,CONSTANT,CONSTANT
43,296.2659553625133,64.64869672991279,94,750.8084331445442,Henry,Young,Nashville,Ireland,IT,,,CONSTANT,CONSTANT
2,110.47564248959706,59.56499833684091,24,900.7733376963954,Michael,Garcia,Memphis,Sweden,Quality Assurance,Portland,,CONSTANT,CONSTANT
24,847.1676801637276,47.26760962769068,26,148.08244032927774,Michael,Young,Sacramento,Argentina,Operations,,,CONSTANT,CONSTANT
75,197.5392603371755,33.97731764246902,94,866.0905519869714,Grace,Wright,San Jose,Ireland,Procurement,,Raleigh,CONSTANT,CONSTANT
11,144.63149077453573,72.19271260165664,38,429.4204852750024,Samuel,Hill,Houston,Thailand,Legal,,,CONSTANT,CONSTANT
80,902.2193747963532,60.80163610675608,67,359.5060316588704,Ava,Sanchez,Los Angeles,Colombia,Human Resources,,,CONSTANT,CONSTANT
46,257.4274120841439,83.2111686538662,7,823.0765800978145,Carter,Clark,Chicago,Australia,Research,Memphis,,CONSTANT,CONSTANT
1,494.0440905190472,55.30017365896576,8,916.1063490088155,Owen,Young,Philadelphia,USA,Customer Support,,,CONSTANT,CONSTANT
45,186.013320391754,89.53182518601649,2,765.4430941513128,Evelyn,Wilson,Indianapolis,Portugal,Analytics,Austin,,CONSTANT,CONSTANT
29,354.7662414196866,54.523893142473355,94,398.601284240891,Carter,King,Las Vegas,Denmark,Procurement,San Francisco,,CONSTANT,CONSTANT
51,262.7658708690119,26.10285848362671,12,405.87157024522025,Grace,Wilson,Columbus,UK,Product,,,CONSTANT,CONSTANT
68,803.724085112936,47.68173963372887,34,333.9059298169963,Sophia,Brown,Austin,Peru,Design,,,CONSTANT,CONSTANT
64,252.91188699609611,43.08197272081966,87,107.5185450016939,William,Wright,San Diego,Netherlands,Marketing,,,CONSTANT,CONSTANT
92,75.32955947515185,48.07921431098522,80,376.55096944506914,Olivia,Rodriguez,Tucson,Netherlands,Marketing,Las Vegas,Albuquerque,CONSTANT,CONSTANT
7,545.5210396436082,43.33550644968542,5,514.4733643947169,Alexander,Wright,Los Angeles,South Korea,Product,San Jose,Mesa,CONSTANT,CONSTANT
81,698.2591541284826,43.07312839199885,75,286.1406347801867,Jack,Brown,San Francisco,Australia,Legal,,,CONSTANT,CONSTANT
36,824.0656770177126,63.562254614731486,61,64.56811491470805,Carter,Hernandez,San Diego,India,Quality Assurance,,,CONSTANT,CONSTANT
63,97.72847253530048,23.558339759009503,47,442.2009651232048,Henry,Scott,San Diego,Singapore,Finance,Raleigh,,CONSTANT,CONSTANT
97,521.8821487506177,51.904180693703786,95,988.021841898342,Olivia,Taylor,Memphis,Netherlands,Engineering,,,CONSTANT,CONSTANT
80,917.2874241313193,40.57884549008188,44,175.151501980092,Elizabeth,Hernandez,San Jose,Czech Republic,Marketing,,,CONSTANT,CONSTANT
92,328.19706875300056,45.717739008053755,1,758.2500745466234,Mason,Williams,Baltimore,UK,Marketing,,,CONSTANT,CONSTANT
29,337.43132992985545,25.81185775619693,4,417.78296704555174,Sophia,Ramirez,Milwaukee,Mexico,Operations,,,CONSTANT,CONSTANT
69,340.5888663498662,28.91571369725536,59,180.80827988562476,Joseph,Miller,Detroit,Canada,Engineering,Chicago,,CONSTANT,CONSTANT
61,555.8208407605676,58.3478325129317,25,422.80567936598135,Sofia,Sanchez,Washington,Switzerland,Legal,San Jose,,CONSTANT,CONSTANT
22,879.927006876132,43.10280838455508,75,756.9527239559754,Lily,Lee,Jacksonville,Singapore,Legal,,Mesa,CONSTANT,CONSTANT
19,99.43472151537658,49.224455576455426,67,517.4017443182238,Grace,Clark,Philadelphia,China,Engineering,,,CONSTANT,CONSTANT
68,525.0742696014984,48.02954876844122,82,869.6523355993595,Sofia,Lee,Portland,Argentina,Engineering,,,CONSTANT,CONSTANT
56,6.593391487746958,42.94844426784911,20,22.913311177157226,Sophia,Jackson,Fort Worth,Czech Republic,Legal,,,CONSTANT,CONSTANT
48,615.6891557073652,34.7344187862653,53,171.40182132171157,Scarlett,Jackson,San Francisco,Norway,Finance,,Dallas,CONSTANT,CONSTANT
96,456.9806060007658,43.577660262515394,0,704.301673674796,Ava,Lewis,Tucson,Thailand,Design,Fresno,,CONSTANT,CONSTANT
59,589.4099943257554,55.302978077550534,52,270.8613016224167,Owen,Martinez,Sacramento,New Zealand,Legal,Fresno,,CONSTANT,CONSTANT
5,631.4270997619002,35.81629626073582,47,716.6999609055684,Emma,Wilson,Nashville,Poland,Finance,,,CONSTANT,CONSTANT
1,507.9182422484897,17.707555194294436,62,69.66212513478031,Victoria,Anderson,San Francisco,Sweden,Legal,,,CONSTANT,CONSTANT
17,522.8282205904435,60.962311700179725,2,427.5075246807953,James,Harris,Jacksonville,Sweden,Engineering,Charlotte,,CONSTANT,CONSTANT
58,923.7398118829597,27.13475594548728,24,194.30433168295912,Victoria,Green,Louisville,Brazil,Design,,,CONSTANT,CONSTANT
24,961.3704055533312,75.60674235158305,98,848.3813271218359,James,Anderson,Charlotte,Portugal,Sales,,,CONSTANT,CONSTANT
2,405.1224811292572,44.80549992648075,24,2.743651453552709,Isabella,Miller,Nashville,Chile,Engineering,,Phoenix,CONSTANT,CONSTANT
32,157.99429570925338,47.2542525532588,53,1.9158159494716553,David,Flores,Philadelphia,Austria,Operations,,,CONSTANT,CONSTANT
45,76.63877769653993,15.247754915844595,44,870.4622852777085,Joseph,Garcia,Houston,Argentina,Legal,,Phoenix,CONSTANT,CONSTANT
87,648.3899920621886,50.52369384494935,64,516.1815060377569,James,Johnson,Charlotte,Netherlands,IT,Kansas City,Austin,CONSTANT,CONSTANT
34,965.4320791836409,51.4436821252429,5,858.1307310346734,Matthew,Ramirez,San Jose,Colombia,Engineering,,,CONSTANT,CONSTANT
55,843.0158493636545,38.48725651878731,63,674.3411337432135,Amelia,Hill,Washington,China,Design,,Raleigh,CONSTANT,CONSTANT
81,213.71476773817932,28.085519634502077,89,316.21514397331293,Matthew,Thomas,Columbus,South Korea,Product,,,CONSTANT,CONSTANT
53,297.80179332505253,59.20837833085292,42,802.1409158773703,Avery,Garcia,Austin,Finland,Sales,,,CONSTANT,CONSTANT
0,305.56469886291836,38.09016372871889,22,548.8136181738136,Elizabeth,Gonzalez,Baltimore,Thailand,Procurement,Dallas,San Diego,CONSTANT,CONSTANT
13,414.9425253520095,64.92481446280951,80,208.75308155398054,Victoria,Ramirez,San Jose,Ireland,Human Resources,,Washington,CONSTANT,CONSTANT
79,252.41216587856997,74.74404926206601,70,923.1118265699224,Sebastian,Gonzalez,Las Vegas,USA,Product,Nashville,Chicago,CONSTANT,CONSTANT
8,917.4642658711539,37.86355467319845,22,951.2380865787655,Owen,Lopez,San Jose,France,Engineering,,,CONSTANT,CONSTANT
65,639.5099659869842,53.540474168634624,88,244.58757972344858,Scarlett,Sanchez,Seattle,China,Sales,Raleigh,,CONSTANT,CONSTANT
45,499.05303026514804,43.238823863480455,57,227.3604651227229,Emma,Flores,Los Angeles,Denmark,IT,,,CONSTANT,CONSTANT
90,577.7743111569745,16.832719216302074,77,484.2872701192384,Lily,Lopez,Miami,Peru,Sales,,,CONSTANT,CONSTANT
11,651.9239668733828,50.42698573816356,73,959.6860785651629,Alexander,Martinez,Fresno,Canada,Human Resources,,,CONSTANT,CONSTANT
10,950.3784393984351,61.19413577070348,24,584.012410520099,Mason,Young,Columbus,Norway,Sales,,,CONSTANT,CONSTANT
55,740.7400727492349,53.9783730493268,27,365.9559423189076,Isabella,Moore,San Francisco,Argentina,Procurement,,,CONSTANT,CONSTANT
1,818.9465119987126,50.11337922737938,39,467.1773686399311,Emily,Allen,Dallas,South Korea,Marketing,Raleigh,,CONSTANT,CONSTANT
68,309.26972428048407,43.68488474062072,90,461.7375653139021,Victoria,Williams,Sacramento,Mexico,Engineering,,,CONSTANT,CONSTANT
48,447.59485308903345,63.815941318232184,22,673.6995147773814,Mia,Walker,Jacksonville,Italy,Quality Assurance,,,CONSTANT,CONSTANT
9,144.40709571591037,44.22989425030355,76,998.2885911492205,Lily,Young,Boston,Poland,Research,Phoenix,,CONSTANT,CONSTANT
69,593.6536656166573,54.228910476438074,81,949.0196218475975,Ethan,Taylor,Fort Worth,Thailand,Legal,,,CONSTANT,CONSTANT
88,951.0529809620132,81.6004781222079,82,535.9532201803579,Avery,Taylor,Long Beach,Denmark,Sales,Colorado Springs,,CONSTANT,CONSTANT
81,784.3057889974606,40.46477800634413,39,637.1710950113949,Scarlett,Jones,Washington,South Korea,Design,,,CONSTANT,CONSTANT
51,783.3804727406625,51.23055314537844,12,868.831165780079,Ella,Clark,Nashville,Czech Republic,Engineering,,,CONSTANT,CONSTANT
3,232.96139192795295,63.16901595372691,59,535.780808227865,Victoria,Walker,Milwaukee,Poland,Analytics,,,CONSTANT,CONSTANT
41,944.8383768999291,87.80444814408982,31,847.0036461336064,Carter,Hernandez,Memphis,Sweden,Procurement,,,CONSTANT,CONSTANT
33,81.00153251693676,73.05930134669627,21,827.605283476281,Aria,Scott,Milwaukee,USA,Customer Support,,Miami,CONSTANT,CONSTANT
60,45.12895356681168,59.77385855544401,98,493.67284483883157,James,Garcia,Denver,Canada,Operations,Kansas City,,CONSTANT,CONSTANT
4,878.2529644492511,44.398179337220206,92,176.72507618880275,Samuel,Anderson,Tucson,Netherlands,Operations,Atlanta,,CONSTANT,CONSTANT
96,879.7977527579161,50.30148988726809,31,867.0030414935524,Jackson,Robinson,Memphis,Poland,Marketing,,,CONSTANT,CONSTANT
71,792.7660839919077,65.31833540569859,42,951.6166137983255,Aria,Williams,Washington,Norway,Engineering,,Houston,CONSTANT,CONSTANT
42,256.8969563504805,58.500522795680965,20,958.3613684725733,Ava,White,Columbus,Mexico,Finance,Los Angeles,,CONSTANT,CONSTANT
53,726.3180005126238,39.46475445466167,95,135.9029911879005,Victoria,Young,Austin,Italy,Design,,Long Beach,CONSTANT,CONSTANT
44,724.9191716407661,27.27055728319696,36,696.862973419186,Ethan,Nguyen,Miami,Portugal,Research,Detroit,,CONSTANT,CONSTANT
3,343.240708392727,49.62454108946626,55,66.28619480241727,Olivia,Jackson,Boston,Finland,Operations,,,CONSTANT,CONSTANT
81,131.25108904175363,55.20990813393433,92,501.568551841914,Ava,Garcia,New York,Belgium,Research,,,CONSTANT,CONSTANT
81,450.9622126647834,63.015770645949765,93,103.76566364728524,Abigail,Harris,Miami,Netherlands,Human Resources,,,CONSTANT,CONSTANT
20,822.6708271333779,33.628092410874515,59,61.616270597458666,Chloe,Walker,Albuquerque,Germany,Research,Detroit,,CONSTANT,CONSTANT
53,399.8493399784537,49.169768823600414,81,984.4465649723941,Ava,White,Tucson,South Korea,Analytics,Boston,,CONSTANT,CONSTANT
8,816.7239449726584,76.13530640619754,40,109.66752714852268,Sebastian,Brown,Boston,Switzerland,Legal,,San Antonio,CONSTANT,CONSTANT
91,268.42161717470515,36.340005343545144,38,38.847512838964036,Harper,Walker,Memphis,Colombia,Design,,,CONSTANT,CONSTANT
86,107.40204354155625,76.80223548190273,37,749.4287222876262,Sofia,Ramirez,Philadelphia,Italy,Customer Support,,,CONSTANT,CONSTANT
18,238.17889854063202,45.43855476591883,95,856.9381236859703,Daniel,Lewis,Albuquerque,Canada,Operations,New York,,CONSTANT,CONSTANT
47,312.9948896084815,43.111028580995374,19,239.99386675100652,Abigail,Nguyen,Albuquerque,Canada,Legal,Fresno,,CONSTANT,CONSTANT
85,181.69990510034162,47.20231393407932,82,60.78394872221238,Liam,Davis,Louisville,Norway,Engineering,,,CONSTANT,CONSTANT
30,362.79652357913903,49.569093542435645,35,863.8433797555763,Joseph,Jones,Los Angeles,Switzerland,Customer Support,,,CONSTANT,CONSTANT
95,810.0587604641153,64.66043058886937,91,367.19834454933897,Jack,Sanchez,Fresno,Canada,Design,,,CONSTANT,CONSTANT
10,28.34265170904715,65.52242067146305,19,396.65897722207865,Daniel,Ramirez,Milwaukee,Switzerland,Engineering,,,CONSTANT,CONSTANT
80,439.062698486381,64.1773588393188,86,242.31987266514298,Abigail,Jackson,Las Vegas,Australia,IT,,,CONSTANT,CONSTANT
7,866.3219436451257,57.01494951811854,88,705.5367569629733,Michael,Harris,Jacksonville,Belgium,Finance,,,CONSTANT,CONSTANT
97,885.0046228570752,33.458856688027865,51,236.0928230335919,Sophia,Martinez,San Diego,Portugal,Sales,Tucson,,CONSTANT,CONSTANT
66,802.095901895728,38.81671605050624,91,683.6625738346571,Aiden,Scott,Columbus,Singapore,Sales,,,CONSTANT,CONSTANT
49,530.4342733642079,40.539928915839056,91,509.4303428216227,Alexander,Smith,Boston,Austria,Procurement,,,CONSTANT,CONSTANT
68,301.4040881136637,41.05119252814045,98,411.53937428397836,Emma,Wilson,Kansas City,China,Customer Support,,,CONSTANT,CONSTANT
39,815.2888514337768,40.78574955802047,40,944.5238125454296,Aria,Thomas,Kansas City,Ireland,Legal,Mesa,Raleigh,CONSTANT,CONSTANT
18,351.48095596293183,48.96365359173768,16,781.3817188829556,Grace,Sanchez,Seattle,Chile,Human Resources,,Detroit,CONSTANT,CONSTANT
83,260.2515496110952,53.41730927310867,55,23.89054213273134,Avery,White,San Antonio,Italy,Marketing,Charlotte,,CONSTANT,CONSTANT
98,787.8033614804874,14.124945153634883,57,157.86231305240406,Benjamin,Wright,San Jose,Mexico,Engineering,,,CONSTANT,CONSTANT
37,99.96678373090262,85.38418613147442,20,877.8342229158849,William,Thomas,Memphis,Singapore,Customer Support,Phoenix,,CONSTANT,CONSTANT
99,121.86766558466012,53.272142173501585,43,940.5893429388886,Daniel,White,Boston,Peru,Human Resources,,Louisville,CONSTANT,CONSTANT
49,613.4553806420007,40.52585817048727,33,806.0921747040337,Jack,Flores,Louisville,Poland,IT,,,CONSTANT,CONSTANT
47,4.941736757282489,71.79281098583851,82,887.8206608947625,Mia,Rodriguez,Columbus,Japan,Operations,,,CONSTANT,CONSTANT
16,382.21945641443864,42.42824161663884,37,960.8180320358059,Chloe,Torres,Fort Worth,France,Engineering,,San Antonio,CONSTANT,CONSTANT
68,798.1164382682978,33.27879742528532,60,875.1506817523253,Sophia,Hill,Tucson,Switzerland,Finance,,Seattle,CONSTANT,CONSTANT
43,389.61214694776936,52.693607144907396,69,34.399639246493365,Charlotte,Wright,Milwaukee,South Korea,Operations,,,CONSTANT,CONSTANT
66,188.88829462210123,26.98981200487968,18,935.4223772303045,James,Martinez,San Jose,Spain,Research,,Chicago,CONSTANT,CONSTANT
